agency.first_name.closing;Car Vivre est un Art
agency.first_name.founder;La fondatrice
agency.first_name.paragraph1;Se lancer dans l'entreprenariat, c'est avoir un enfant, lui donner un prénom, l'armer pour la vie, l'inspirer et le faire grandir. J'ai choisi Egon, un prénom autrichien. Egon, comme Egon Schiele, le grand Expressionniste. Une figure inspirante à l'œuvre prolifique, où le Je devient Jeu, Un phare dans mes imaginaires qui a exacerbé mes premières émotions.
agency.first_name.paragraph2;Egon, 4 lettres puissantes qui ont le goût du voyage. Egon, c'est aujourd'hui une agence conseil en communication dédiée à l'art de vivre, libre, créative et engagée.
agency.first_name.pronunciation;Comment prononcer mon prénom ?
agency.first_name.side_title;EGON - Prénom
agency.first_name.why_egon;Pourquoi Egon ?
agency.founder.title;La fondatrice
agency.founder.paragraph1;Bâtisseuse créative et exigeante, hédoniste passionnée, amoureuse du dialogue et des correspondances, experte en communication depuis plus de 20 ans pour le compte de maisons de luxe, avec une sensibilité particulière pour les arts de vivre.
agency.founder.paragraph2;Elle a choisi de s'entourer d'un collectif d'indépendants sensibles aux codes du luxe et experts de l'image qu'elle fédère en mode projet : Directeurs Artistiques, Écrivains, Motion Designers, Graphistes, Réalisateurs, Photographes, Développeurs Web…, pour donner vie à son rêve, celui de vous accompagner, avec cœur et engagement.
agency.founder.contact_me;Contactez-moi :
agency.manifest.side_title;EGON - Manifeste
agency.manifest.paragraph1_number;N°01
agency.manifest.paragraph1_text;Expressif et radical, il touche, interpelle, sublime, décrit, réinvente, véritable stratège épi.curieux, voué à l'expression du beau par le sens juste et exact, le lien, l'image et le mot, il procure le rêve et provoque l'émotion.
agency.manifest.paragraph1_title;Artiste par nature
agency.manifest.paragraph2_number;N°02
agency.manifest.paragraph2_text;L'esprit nomade, Il se nourrit d'hier pour mieux appréhender demain, pragmatique, actif et inspiré, Il pense les arts de Vivre avec conscience, passion et rigueur.
agency.manifest.paragraph2_title;Enraciné dans la terre
agency.manifest.paragraph3_number;N°03
agency.manifest.paragraph3_text;Il évolue dans un environnement créatif à géométrie variable, qu'il s'est choisi.
agency.manifest.paragraph3_title;Philanthrope décomplexé
agency.manifest.paragraph4_number;Tour à tour,
agency.manifest.paragraph4_text;Egon est un électron libre, créatif et engagé.
agency.manifest.paragraph4_title;Éclaireur et éclairé
agency.philosophy.closing;Egon, c'est un ensemble de valeurs, un collectif d'hommes et de femmes bienheureux, convaincus et indépendants, habités par une envie de créer mieux et engagés pour Être plutôt qu'Avoir.
agency.philosophy.contact_us;Contactez-nous :
agency.philosophy.paragraph1_text;voué à l'expression du beau par le sens juste et exact, l'image et le mot.
agency.philosophy.paragraph1_title;expert des maisons de luxe et amoureux de l'art de vivre,
agency.philosophy.paragraph2_text;aussi émotionnelle qu'intemporelle, est fondatrice et fédératrice et permet à vos équipes, vos clients, vos amis de s'unir dans un idéal, et de voir loin, pour longtemps.
agency.philosophy.paragraph2_title;Un complice convaincu qu'une Direction Artistique singulière,
agency.philosophy.paragraph3_text;parce qu'aujourd'hui communiquer différemment n'est plus une question mais une mission pour projeter un futur désirable cohérent. L'authenticité des messages, la transparence, le respect, la communication directe, franche et collaborative sont autant d'actes positifs générateurs de confiance, de véritables enjeux éthiques auxquels nous croyons fondamentalement.
agency.philosophy.paragraph3_title;Un acolyte qui a la détermination de penser une Direction Artistique responsable
agency.philosophy.paragraph4_title;Egon vous offre une création au service d'une performance durable.
agency.philosophy.paragraph5_text;c'est une humble prise de conscience du monde actuel et une volonté d'appartenir au monde de demain, un monde où l'on communique mieux avec créativité, sens et intemporalité.
agency.philosophy.paragraph5_title;Egon,
agency.philosophy.side_title;EGON - Philosophie
agency.philosophy.title;Egon, un partenaire libre, créatif et engagé qui comprend votre marque et ses défis, avec passion,
agency.scroll;Scroll
common.egon;Egon
contact.address1;71-73 rue de Chézy
contact.address2;92200 Neuilly-sur-Seine – France
contact.side_title;CONTACT
creation.customers.paragraph;chers Clients, que nous existons et que nous avons la capacité aujourd'hui de participer à un monde où l'on communique mieux avec créativité, sens et intemporalité. Alors Merci à vous. Merci de votre confiance.
creation.customers.side_title;CREATION - Les clients
creation.customers.thanks;Merci !
creation.customers.title;C'est grâce à vous,
creation.projects.contact;Et si on s'en parlait ?
creation.projects.paragraph;Nous aimons ce que vous aimez à travers vos yeux, votre histoire, votre sens, vos sens. Notre inspiration naît d'ailleurs, d'ici, de votre héritage, de vos mots surtout qui nous guident à chaque pas de notre réflexion. Nous revendiquons la justesse, la cohérence, la longévité.
creation.projects.side_title;CREATION - Les projets
creation.projects.title;La création est un parcours. Un parcours de sens, de culture, d'imaginaire. L'issue est plurielle, protéiforme.
expertises.creation.closing;Nous croyons que vivre reste un art en quête de perpétuité
expertises.creation.column1.item1;Direction de Création
expertises.creation.column1.item2;Mood
expertises.creation.column1.title;Territoire d'expression
expertises.creation.column2.item1;Logo
expertises.creation.column2.item2;Charte graphique
expertises.creation.column2.title;Identité visuelle
expertises.creation.column3.title;Publicité
expertises.creation.column4.title;Campagne d'activation globale
expertises.creation.column5.title;Illustration
expertises.creation.paragraph1;Créer, innover, donner une véritable identité à votre maison, lui offrir une Direction Artistique singulière, unique et signée sont autant de gages de réussites, pour longtemps.
expertises.creation.paragraph2;Nous créons autrement, pour innover sans exploiter. Surprendre avec sens et cohérence. Imaginer avec grandeur et inventivité dans une démarche éco-conceptuelle.
expertises.creation.side_title;SKILLS - Création
expertises.creation.title;Direction Artistique
expertises.digital.closing;Nous captons l'air du temps et rêvons à des souffles nouveaux
expertises.digital.column1.item1;UX & UI design
expertises.digital.column1.item2;Webdesign
expertises.digital.column1.item3;Développement
expertises.digital.column1.title;Site Web et e-shop
expertises.digital.column2.item1;Stratégie SEO
expertises.digital.column2.item2;Campagne SEA
expertises.digital.column2.item3;Audit sémantique
expertises.digital.column2.item4;Accompagnement technique
expertises.digital.column2.item5;Copywriting
expertises.digital.column2.title;Référencement
expertises.digital.column3.item1;Stratégie
expertises.digital.column3.item2;Calendrier éditorial
expertises.digital.column3.item3;Production de contenu
expertises.digital.column3.item4;Guidelines
expertises.digital.column3.title;Social Media
expertises.digital.paragraph1;Nous croyons à la simplicité et à la pertinence digitale. Ce qui est en ligne doit être utile. Nous créons en intégrant le principe de sobriété fonctionnelle et défendons l'accessibilité à tous.
expertises.digital.paragraph2;La communication devient conversation, instantanée, directe et universelle. Nous croyons au lien entre les femmes et les hommes. Nous faisons rêver mais nos dires sont vrais et vérifiés. Nous créons, produisons mais ne saturons pas nos audiences.
expertises.digital.side_title;SKILLS - Digital
expertises.digital.title;Site Web & Social Media
expertises.edition.closing;Nous avons la culture de la racine pour mieux appartenir à demain
expertises.edition.column1.item1;Story-telling
expertises.edition.column1.item2;Copywriting multilingue
expertises.edition.column1.title;Stratégie éditoriale
expertises.edition.column2.item1;Mise en page
expertises.edition.column2.item2;Exécution
expertises.edition.column2.item3;Photogravure
expertises.edition.column2.item4;Retouche
expertises.edition.column2.title;Direction Artistique
expertises.edition.column3.item1;Sourcing
expertises.edition.column3.item2;Négociation
expertises.edition.column3.item3;Recommandation
expertises.edition.column3.item4;Calage
expertises.edition.column3.item5;Fabrication
expertises.edition.column3.item6;Routage
expertises.edition.column3.item7;Pilotage et Suivi
expertises.edition.column3.title;Print Management
expertises.edition.paragraph1;Marquer l'histoire, graver et transmettre. Nous sommes des éditorialistes amoureux des beaux livres bien pensés et créés avec finesse et caractère.
expertises.edition.paragraph2;Nous défendons l'intemporalité dans nos créations et la production raisonnée. Nous favorisons les papiers recyclés et les embellissements par la création. Nous sélectionnons des imprimeurs responsables et sommes fiers de les intégrer dans notre chaîne de valeurs.
expertises.edition.side_title;SKILLS - Édition
expertises.edition.title;Édition
expertises.production.closing;Nous revendiquons une communication instrumentale raisonnée qui s'interroge
expertises.production.column1.item1;Intentions
expertises.production.column1.title;Direction photo
expertises.production.column2.item1;Storyboard
expertises.production.column2.title;Réalisation film
expertises.production.column3.item1;Achat d'art
expertises.production.column3.item2;Équipe artistique
expertises.production.column3.item3;Repérage
expertises.production.column3.title;Pré-production
expertises.production.column4.item1;Shooting
expertises.production.column4.item2;Tournage
expertises.production.column4.item3;Motion
expertises.production.column4.item4;Post-Production
expertises.production.column4.item5;Sound-design
expertises.production.column4.title;Production photo production film
expertises.production.paragraph1;Vous avez dit Brand Content ? Photos ? Vidéos ? Nos idées, nous les produisons de A jusqu'à Z, avec un souci du détail, de la minutie, de la créativité et de l'ordre.
expertises.production.paragraph2;Nous produisons sans détruire avec une idée assumée de l'inclusivité, dans le respect d'un budget annoncé, avec une équipe bienveillante, aussi rigoureuse que créative, aussi responsable qu'empathique.
expertises.production.side_title;SKILLS - Production
expertises.production.title;Production de contenus
expertises.strategy.closing;Nous sommes des bâtisseurs éclairés, animés par le sens et la cohérence
expertises.strategy.column1.item1;Audit de marque
expertises.strategy.column1.item2;Benchmarking
expertises.strategy.column1.item3;Planning Stratégique
expertises.strategy.column1.item4;Architecture de marque
expertises.strategy.column1.item5;Naming
expertises.strategy.column1.title;Conseil & Stratégie
expertises.strategy.column2.item1;Story-telling
expertises.strategy.column2.item2;Copywriting multilingue
expertises.strategy.column2.item3;Manifeste
expertises.strategy.column2.title;Identité éditoriale
expertises.strategy.column3.item1;Vision, Mission et Promesse
expertises.strategy.column3.item2;Piliers, Valeurs et Personnalité
expertises.strategy.column3.item3;Produits et Savoir-faire
expertises.strategy.column3.title;Plateforme de marque
expertises.strategy.paragraph1;Nous pensons l'histoire d'une maison par le prisme d'un concept singulier & propriétaire, dans une logique de sobriété, de durabilité et d'essentialité, pour le plus grand nombre. Écrire, donner le ton, capturer l'essence de votre marque.
expertises.strategy.paragraph2;Que le Je devienne Jeu !
expertises.strategy.side_title;SKILLS - Stratégie
expertises.strategy.title;Conseil, Stratégie & Architecture de marque
footer.contact;Contact
footer.join_us;Nous rejoindre
footer.legal_notice;Mentions légales
footer.newsletter;Newsletter
footer.privacy_policy;Politique de confidentialité
join_us.paragraph;Véritable épi.curieux,\nVous êtes libre, créatif et indépendant,\nVous cultivez le verbe et appréciez les joutes verbales,\nVotre œil est aussi espiègle qu'aiguisé,\nVotre exigence personnelle est redoutable,\nVotre sens de l'humour est reconnu,\nVous êtes sensible aux jeux de la communication durable\net responsable,\nPour vous, la vie ne peut qu'être, belle, drôle et plaisante,\nAlors, rejoignez notre collectif en envoyant votre dossier.
join_us.side_title;NOUS REJOINDRE
join_us.title;Participez à l'histoire d'Egon
legal_notice.title;Mentions légales
legal_notice.last_update;Date de mise à jour
legal_notice.welcome;Bienvenue sur notre site egonparis.com
legal_notice.law;En vertu de l'article 6 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique :
legal_notice.owner;Propriétaire et éditeur : EGON PARIS, SASU au capital de 2000 €
legal_notice.address;Immatriculée sous le RCS Nanterre B 910 423 185 et TVA : FR21910423185 – 71-73 rue de Chézy – 92200 Neuilly-sur-Seine – France
legal_notice.publication_director;Directeur de la publication : Séverine Breton – 
legal_notice.host;Hébergeur : OVH, 2 rue Kellermann – BP 80157 59053 ROUBAIX CEDEX 1 – France
legal_notice.please_read;Veuillez lire attentivement les présentes conditions générales d'utilisation (« CGU ») avant d'utiliser le Site. En utilisant le Site, vous reconnaissez avoir lu les CGU et acceptez d'être lié par l'ensemble de ses dispositions. Si vous ne souhaitez pas être lié par ces CGU, veuillez ne pas utiliser le site.
legal_notice.right_to_update;Nous nous réservons le droit de modifier ou mettre à jour tout ou partie des CGU à notre discrétion et sans préavis. Nous publierons toujours la version la plus récente sur le Site et indiquerons la date de dernière modification pour refléter la date de mise à jour. Les CGU révisées prendront effet dès leur publication.
legal_notice.disclaimer_label;EGON PARIS décline toute responsabilité :
legal_notice.disclaimer_line1;pour toute interruption, suspension ou dysfonctionnement du site,
legal_notice.disclaimer_line2;survenance de bogues,
legal_notice.disclaimer_line3;pour toute inexactitude ou omission portant sur des informations disponibles sur le site.
legal_notice.website_protection;Protection du site Internet
legal_notice.copy_forbidden;Toute reproduction, même partielle de ce site internet est interdite. Marque, modèle, dessins et textes sont réservés, déposés et protégés.
legal_notice.website_copyright;Le site et la totalité du contenu sont notre propriété et sont protégés par le droit d'auteur, le droit des marques, et autres droits de propriété intellectuelle ainsi que le droit de la concurrence déloyale, qu'ils soient enregistrés ou pas (« Droits de PI »).
legal_notice.photos_copyright;Les visuels illustrant le manifeste ont été shootés par Marianne Gamet, Lomig, Jœl Filipe, et Daniel Genser.
legal_notice.data_protection;Protection des Données Personnelles et Sécurité
legal_notice.no_data_collect;Aucune information personnelle n'est collectée à l'insu de l'internaute. Aucune information personnelle n'est cédée à des tiers ou utilisée à des fins non prévues. Vous disposez d'un droit d'accès, de modification, de rectification et de suppression des données qui vous concernent (art. 34 de la loi « Informatique et Libertés »). Pour l'exercer, adressez-vous à :
legal_notice.privacy_policy_introduction;Nous vous invitons à lire notre rubrique consacrée à notre
legal_notice.privacy_policy_link;politique de confidentialité
manifest.page1.pre;N°01
manifest.page1.title;Artiste par nature
manifest.page1.text;Expressif et radical,\nIl touche, interpelle, sublime,\ndécrit, réinvente, véritable stratège épi.curieux,\nvoué à l'expression du beau\npar le sens juste et exact, le lien, l'image et le mot,\nil procure le rêve et provoque l'émotion
manifest.page2.pre;N°02
manifest.page2.title;Enraciné dans la terre
manifest.page2.text;L'esprit nomade,\nIl se nourrit d'hier pour mieux appréhender demain,\npragmatique, actif et inspiré,\nIl pense les arts de Vivre avec conscience,\npassion et rigueur
manifest.page3.pre;N°03
manifest.page3.title;Philanthrope décomplexé
manifest.page3.text;Il évolue dans un environnement créatif\nà géométrie variable, qu'il s'est choisi
manifest.page4.pre;Tour à tour,
manifest.page4.title;Éclaireur et éclairé
manifest.page4.text;Egon Paris\nest un électron libre, créatif et engagé.
manifest.page5.pre;
manifest.page5.title;
manifest.page5.text;Agence conseil en communication
menu.label;Menu
menu.agency.first_name;Prénom
menu.agency.founder;Fondatrice
menu.agency.label;Egon
menu.agency.manifest;Manifeste
menu.agency.philosophy;Philosophie
menu.contact.label;Contact
menu.creation.customers;Qui ?
menu.creation.label;Creation
menu.creation.projects;Comment ?
menu.expertises.creation;Création
menu.expertises.digital;Digital
menu.expertises.edition;Édition
menu.expertises.label;Skills
menu.expertises.production;Production
menu.expertises.strategy;Stratégie
menu.language.en;UK
menu.language.fr;FR
menu.language.it;IT
newsletter.action.subscribe;Je m'inscris
newsletter.error;Veuillez vérifier votre adresse e-mail
newsletter.header;Inscrivez-vous à notre newsletter
newsletter.placeholder;Votre adresse e-mail
newsletter.subscribed;Vous êtes inscrit !
privacy_policy.title;Politique de Confidentialité
privacy_policy.personal_data_title;Qu'est-ce que les Données Personnelles ?
privacy_policy.personal_data_paragraph1;Les données à caractère personnel sont des informations que nous collectons afin de vous identifier : Vos coordonnées (nom, prénom, adresse, âge, adresses postale et électronique, numéros de téléphone, etc.).
privacy_policy.personal_data_paragraph2;EGON PARIS accorde la plus grande importance et le plus grand soin à la protection de vos Données Personnelles.
privacy_policy.recipients_title;Destinataires de vos Données
privacy_policy.recipients_paragraph;Seuls différents services internes de notre société peuvent avoir accès à vos données personnelles.
privacy_policy.goal_title;Finalité des Données Personnelles
privacy_policy.goal_paragraph1;Le traitement de données personnelles peut consister à collecter, enregistrer, organiser, archiver, modifier, supprimer, ajouter, exporter, consulter, traiter ou communiquer.
privacy_policy.goal_paragraph2;Nous n'utilisons vos données personnelles que dans la mesure où cela est nécessaire et à différentes occasions :
privacy_policy.goal_line01;pour vous contacter,
privacy_policy.goal_line02;pour assurer le traitement de vos demandes,
privacy_policy.goal_line03;pour assurer l'exécution de nos prestations,
privacy_policy.goal_line04;pour vous envoyer nos actualités, nos offres spéciales, informations diverses,
privacy_policy.goal_line05;pour répondre à vos demandes, réclamations ou litiges,
privacy_policy.goal_line06;pour prévenir la fraude,
privacy_policy.goal_line07;pour établir nos documents comptables,
privacy_policy.goal_line08;pour optimiser nos produits et services,
privacy_policy.goal_line09;pour personnaliser nos offres,
privacy_policy.goal_line10;etc.
privacy_policy.goal_paragraph3;Si vous ne souhaitez pas que nous utilisions vos informations personnelles à des fins d'études ou analyses, vous pouvez en faire la demande à tout moment en nous écrivant à
privacy_policy.confidentiality_title;Confidentialité
privacy_policy.confidentiality_paragraph1;Nous ne conservons vos données que pour la durée nécessaire à la réalisation de leurs traitements ou en fonction des obligations légales et fiscales.
privacy_policy.confidentiality_paragraph2;Nous nous engageons à ne pas vendre, louer, céder ni donner accès à des tiers à vos données sans votre consentement préalable, à moins d'y être contraints en raison d'un motif légitime (obligation légale, lutte contre la fraude ou l'abus, exercice des droits de la défense, etc.).
privacy_policy.your_rights_title;Vos droits
privacy_policy.your_rights_paragraph1;Si toutefois vous ne souhaitez plus recevoir nos informations ou intervenir de quelque façon que ce soit sur vos données personnelles, vous disposez des droits suivants :
privacy_policy.your_rights_line1;le droit de demander l'accès à vos données,
privacy_policy.your_rights_line2;le droit de rectifier ou de mettre à jour vos données,
privacy_policy.your_rights_line3;le droit de supprimer vos données ou de restreindre leur traitement, dans les limites légales,
privacy_policy.your_rights_line4;le droit de vous opposer au traitement de vos données et au marketing direct,
privacy_policy.your_rights_line5;le droit à la portabilité de vos données.
privacy_policy.your_rights_paragraph2;Pour exercer ces droits, il vous suffit simplement de nous le signaler à l'adresse suivante :
privacy_policy.address1;71-73 rue de Chézy
privacy_policy.address2;92200 Neuilly-sur-Seine – France
privacy_policy.your_rights_paragraph3;Nous répondrons dans les meilleurs délais à votre demande et ferons le nécessaire afin d'être respectueux de la confiance que vous nous accordez.
privacy_policy.cookies_title;Les cookies
privacy_policy.cookies_paragraph1;Afin d'améliorer la qualité de nos services, nous sommes susceptibles d'utiliser des cookies sur notre site. Les cookies sont de petits fichiers textes que votre navigateur dépose sur votre ordinateur, votre mobile ou votre tablette lorsque vous surfez sur Internet. Ils sont générés par le site que vous visitez et contiennent quelques données relatives à votre connexion.
privacy_policy.cookies_paragraph2;Les informations recueillies sont anonymes et ne nous permettent pas de vous identifier. Nous utilisons ces informations pour optimiser nos offres, améliorer nos services et votre navigation, vous proposer des publicités pertinentes et ciblées, vous offrir des fonctionnalités supplémentaires, etc. Nous les utilisons également à des fins de statistiques, pour évaluer les performances de notre site, déterminer le nombre de fois qu'une page est consultée ou connaître l'audience de notre site.
privacy_policy.cookies_paragraph3;Vous êtes libre d'accepter ou de refuser les cookies en paramétrant votre navigateur internet. Les cookies peuvent être temporaires (cookies de session) ou permanents. Les cookies de session sont actifs le temps de votre visite uniquement et supprimés lorsque vous fermez le navigateur. Les cookies permanents restent sur le disque dur de votre terminal lorsque vous quittez le site et y demeurent jusqu'à ce que vous les supprimiez manuellement ou que le navigateur les purge après un certain délai.
privacy_policy.cookies_paragraph4;Dans le cadre du respect de votre vie privé, nous n'associons à vos cookies aucune information permettant de vous identifier. Les cookies ne permettent en aucun cas de connaître votre adresse, votre date de naissance, votre numéro de téléphone ou toute autre information permettant de vous identifier.
privacy_policy.security_title;Sécurité
privacy_policy.security_paragraph;Nous nous engageons à mettre en œuvre les mesures techniques et d'organisation appropriées afin de protéger vos Données Personnelles contre la destruction accidentelle ou illicite, la perte accidentelle, l'altération, la diffusion ou l'accès non autorisé à ces données.
privacy_policy.applicable_law_title;Droit applicable
privacy_policy.applicable_law_paragraph1;Le site EGON PARIS a été conçu et écrit en français, anglais et italien. Les Conditions Générales d'utilisation sont soumises au droit français. En cas de litige, la compétence est attribuée aux tribunaux français.
privacy_policy.applicable_law_paragraph2;Pour toute question concernant les présentes CGU, en cas de demande ou de réclamation portant sur vos Données Personnelles, vous pouvez nous contacter selon les modalités suivantes :
privacy_policy.applicable_law_paragraph3;En cas de réclamation sur la manière dont nous traitons vos données, vous disposez également du droit de contacter : la Commission Nationale de l'Informatique et des Libertés (CNIL), 3 place de Fontenoy – TSA 80715 – 75334 Paris CEDEX 07, Tél. : 01 53 73 22 22,