agency.first_name.closing;Perché vivere é un'arte
agency.first_name.founder;Fondatrice
agency.first_name.paragraph1;Diventare imprenditore è come avere un figlio, dargli un nome, amarlo per la vita, farlo crescere ispirandolo ogni giorno. Ho scelto Egon, un nome austriaco. Egon, come Egon Schiele, il grande espressionista. Una figura ispirante dall'opera prolifica, dove l'uomo è spazio d'ispirazione, Un faro nel mio immaginario che ha accompagnato le mie prime emozioni.
agency.first_name.paragraph2;Egon, quattro lettere forti che hanno il gusto dell'avventura. Egon è oggi un'agenzia di consulenza in comunicazione specializzata nell'Arte di vivere, libera, creativa ed impegnata.
agency.first_name.pronunciation;Come si pronuncia il mio nome?
agency.first_name.side_title;EGON - Nome
agency.first_name.why_egon;Perché Egon?
agency.founder.title;Fondatrice
agency.founder.paragraph1;Imprenditrice creativa ed esigente, esteta appassionata, esperta nel settore della comunicazione da più di 20 anni per conto di marchi di lusso, con una particolare affinità per l'arte di vivere.
agency.founder.paragraph2;Ha scelto di circondarsi di un collettivo di freelance sensibili ai codici del lusso e di esperti dell'immagine che sono parte integrante del suo progetto: Direttori Artistici, Scrittori, Motion Designers, Graphic Designers, Registi, Fotografi, Web Developers... , per dare vita al suo sogno, quello di accompagnarvi, con cuore e dedizione.
agency.founder.contact_me;Contattatemi
agency.manifest.side_title;EGON - Manifesto
agency.manifest.paragraph1_number;N°01
agency.manifest.paragraph1_text;Radicale ed espressivo, si interessa, domanda, per sublimare, descrivere e reinventare, vero stratega épi.curioso, é devoto all'espressione dell'estetica attraverso il senso giusto e preciso del legame tra l'immagine e la parola, costruendo un sogno per provocare l'emozione.
agency.manifest.paragraph1_title;Artista di natura
agency.manifest.paragraph2_number;N°02
agency.manifest.paragraph2_text;Spirito nomade Si nutre del passato per meglio comprendere il futuro Pragmatico, attivista creativo, Immagina l'arte di Vivere con consapevolezza Passione e rigore
agency.manifest.paragraph2_title;Radicato nella terra
agency.manifest.paragraph3_number;N°03
agency.manifest.paragraph3_text;Evolve in un ambiente creativo alla geometria volubile che si é costruito su misura
agency.manifest.paragraph3_title;Filantropo disinibito
agency.manifest.paragraph4_number;A sua volta,
agency.manifest.paragraph4_text;Egon é un elettrone libero, creativo ed impegnato.
agency.manifest.paragraph4_title;Esploratore poi guida 
agency.philosophy.closing;Egon è un insieme di valori, un collettivo di uomini e donne realizzati, convinti e indipendenti, guidati dal desiderio di creare meglio e impegnati ad essere piuttosto che ad avere.
agency.philosophy.contact_us;Scrivici
agency.philosophy.paragraph1_text;ci dedichiamo all'espressione della bellezza attraverso la ricerca del rapporto giusto tra la parola e l'immagine.
agency.philosophy.paragraph1_title;Forti della nostra esperienza nel mondo del lusso ed aappassionati dell'arte di vivere,
agency.philosophy.paragraph2_text;tanto emotiva quanto atemporale, sia la base fondatrice solida che consente alla vostra equipe, ai vostri clienti ed amici, di riconoscersi nel progetto per proiettarsi lontano e a lungo.
agency.philosophy.paragraph2_title;Un complice convinto che una Direzione Artistica unica,
agency.philosophy.paragraph3_text;perché oggi comunicare in modo diverso non è più un'opzione ma una missione per proiettare un futuro desiderabile e coerente L'autenticità dei messaggi, la trasparenza, il rispetto, la comunicazione diretta, schietta e collaborativa sono tutti atti positivi che generano fiducia, vere questioni etiche in cui crediamo fondamentalmente.
agency.philosophy.paragraph3_title;Un compagno che ha la determinazione di pensare ad una Direzione Artistica responsabile 
agency.philosophy.paragraph4_title;Egon ti propone una creazione al servizio di prestazioni durature.
agency.philosophy.paragraph5_text;Egon, è un'umile consapevolezza del mondo contemporaneo e una proiezione nel mondo di domani, un mondo in cui comunichiamo meglio con creatività, significato e atemporalità. Insieme.
agency.philosophy.paragraph5_title;Egon,
agency.philosophy.side_title;EGON - FILOSOFIA
agency.philosophy.title;Egon, un partner libero, creativo ed impegnato che sostiene il tuo marchio e le sue sfide, con passione,
agency.scroll;Scroll
common.egon;Egon
contact.address1;71-73 rue de Chézy
contact.address2;92200 Neuilly-sur-Seine – France
contact.side_title;CONTACT
creation.customers.paragraph;cari Clienti, che esistiamo e che abbiamo la possibilità oggi di partecipare a un mondo con una migliore comunicazione, piu creativa, con un obiettivo chiaro, ed atemporale. Quindi grazie. Grazie per la vostra fiducia.
creation.customers.side_title;CREATION - Clienti
creation.customers.thanks;Grazie!
creation.customers.title;È grazie a voi,
creation.projects.contact;Che ne dici di parlarne?
creation.projects.paragraph;Amiamo ciò che ami attraverso i tuoi occhi, la tua storia, il tuo significato, i tuoi sensi. La nostra ispirazione viene da altrove, da qui, dalla tua eredità, soprattutto dalle tue parole che ci guidano in ogni passo del nostro pensiero. Rivendichiamo accuratezza, coerenza, longevità.
creation.projects.side_title;CREATION - Progetti
creation.projects.title;La creazione è un percorso. Un percorso che attraversa i sensi, molteplici culture, sfiorando i limiti dell'immaginazione. Il risultato è plurale, proteiforme.
expertises.creation.closing;Crediamo si possa fare della propria vita un'arte, un'arte in costante ricerca di perpetuità.
expertises.creation.column1.item1;Direzione Creativa
expertises.creation.column1.item2;Mood
expertises.creation.column1.title;Territorio d'espressione
expertises.creation.column2.item1;Logo
expertises.creation.column2.item2;Bibbia grafica
expertises.creation.column2.title;Identità visiva
expertises.creation.column3.title;Pubblicita
expertises.creation.column4.title;Campagna di attivazione
expertises.creation.column5.title;Illustrazione
expertises.creation.paragraph1;Creare, innovare, donare un' identità  riconoscibile alla propria impresa, offrirle una Direzione Artistica unica, unica e firmata. Sono tutte garanzie di un successo che sfiderà il tempo.
expertises.creation.paragraph2;Creiamo in modo diverso, per innovare con coscienza. Sorprendere con un'immagine in armonia con un solido contenuto, con l' ambizione creativa di un approccio eco-concettuale.
expertises.creation.side_title;SKILLS - Creazione
expertises.creation.title;Direzione artistica
expertises.digital.closing;Catturiamo lo spirito del nostro tempo e sogniamo nuovi orizzonti.
expertises.digital.column1.item1;Design UX e UI
expertises.digital.column1.item2;Webdesign
expertises.digital.column1.item3;Sviluppo
expertises.digital.column1.title;Site Web & e-shop
expertises.digital.column2.item1;Strategia SEO
expertises.digital.column2.item2;Campagna VAS
expertises.digital.column2.item3;Audit semantico
expertises.digital.column2.item4;Supporto tecnico
expertises.digital.column2.item5;Copywriting
expertises.digital.column2.title;SEO
expertises.digital.column3.item1;Strategia 
expertises.digital.column3.item2;Calendario editoriale
expertises.digital.column3.item3;Produzione di contenuti
expertises.digital.column3.item4;Linee guida
expertises.digital.column3.title;Social Media
expertises.digital.paragraph1;Crediamo nella semplicità e nella rilevanza del mondo digitale. Ciò che è online dovrebbe sempre essere pertinente ed utile. Creiamo integrando il principio della sobrietà funzionale e difendiamo l'accessibilità a tutti.
expertises.digital.paragraph2;La comunicazione diventa conversazione, istantanea, diretta e universale. Crediamo nella connessione tra donne e uomini. Facciamo sognare le persone ma le nostre parole sono vere e verificate. Creiamo, produciamo senza saturare il vostro pubblico.
expertises.digital.side_title;SKILLS - Digital
expertises.digital.title;Website & Social Media
expertises.edition.closing;Abbiamo la cultura della storia per appartenere meglio al domani.
expertises.edition.column1.item1;Story-telling
expertises.edition.column1.item2;Copywriting multilingue
expertises.edition.column1.title;Strategia Editoriale
expertises.edition.column2.item1;Impaginazione
expertises.edition.column2.item2;Esecuzione
expertises.edition.column2.item3;Fotoicisione
expertises.edition.column2.item4;Fotoritocco
expertises.edition.column2.title;Direzione artistica
expertises.edition.column3.item1;Sourcing
expertises.edition.column3.item2;Negoziazione
expertises.edition.column3.item3;Raccomandazioni
expertises.edition.column3.item4;Fasatura
expertises.edition.column3.item5;Fabricazione
expertises.edition.column3.item6;Mailing
expertises.edition.column3.item7;Monitoring and Follow-up
expertises.edition.column3.title;Print Management
expertises.edition.paragraph1;Fare storia, incidere é trasmettere. Siamo scrittori editoriali. I testi, ben pensati, creati con la finezza e con il carattere del'intelligenza, sono la nostra passione.
expertises.edition.paragraph2;Senza tempo. Nelle nostre creazioni e in una produzione ragionata, riflettiamo valori che sfuggono le tendenze. Preferiamo carte riciclate e creazioni attraverso la creazione. Selezioniamo stampatori responsabili e siamo orgogliosi di integrarli nella nostra catena di valori.
expertises.edition.side_title;SKILLS - Édizione
expertises.edition.title;Édizione
expertises.production.closing;Creadiamo in una comunicazione costituita da strumenti responsabili. In una comunicazione che sa rimettersi in gioco.
expertises.production.column1.item1;Intenzioni
expertises.production.column1.title;Direzione della fotografia
expertises.production.column2.item1;Storyboard
expertises.production.column2.title;Realizazione film
expertises.production.column3.item1;Acquisto banca immagine
expertises.production.column3.item2;Audizione
expertises.production.column3.item3;Scouting
expertises.production.column3.title;Preproduzione
expertises.production.column4.item1;Shooting
expertises.production.column4.item2;Riprese video
expertises.production.column4.item3;Motion
expertises.production.column4.item4;Post-Produzione
expertises.production.column4.item5;Sound-design
expertises.production.column4.title;Foto produzione
expertises.production.paragraph1;Avete detto Brand Content? Fotografia? Video? Le nostre idee, noi le produciamo da A a Z, facendo attenzione a tutti i dettagli, anche i più piccoli, Alternando creatività e rigore.
expertises.production.paragraph2;Noi produciamo senza distruggere, senza escludere nulla e nessuno, nel rispetto di un budget predefinito, con un'equipe attenta, rigorosa e creativa, responsabile ed empatica.
expertises.production.side_title;SKILLS - Produzione
expertises.production.title;Produzione di contenuti
expertises.strategy.closing;Siamo progettisti illuminati, guidati dal significato e dalla coerenza.
expertises.strategy.column1.item1;Recensione del marchio
expertises.strategy.column1.item2;Benchmarking
expertises.strategy.column1.item3;Pianificazione strategica
expertises.strategy.column1.item4;Architettura di marca
expertises.strategy.column1.item5;Naming
expertises.strategy.column1.title;Consulenza e Strategia
expertises.strategy.column2.item1;Story-telling
expertises.strategy.column2.item2;Multilingual copywriting
expertises.strategy.column2.item3;Manifesto
expertises.strategy.column2.title;Identità editoriale
expertises.strategy.column3.item1;Visione, Missione e Promessa
expertises.strategy.column3.item2;Pilastri, Valori e Personalità
expertises.strategy.column3.item3;Prodotti e know-how
expertises.strategy.column3.title;Piattaforma del Marchio
expertises.strategy.paragraph1;Pensiamo alla storia di una impresa attraverso il prisma di un concetto unico e proprio al cliente, in una logica di sobrietà, durabilità ed essenzialità, per ognuno che lo desiderasse. Scrivere, impostare il tono, catturare l'essenza per tradurre il tuo marchio.
expertises.strategy.paragraph2;Che i giochi abbiano inizio!
expertises.strategy.side_title;SKILLS - Strategia
expertises.strategy.title;Consulenza, Strategia Ed architettura di marca
footer.contact;Contatti
footer.join_us;Lavora con noi
footer.legal_notice;Note Legali
footer.newsletter;Newsletter
footer.privacy_policy;Politica Sulla Privacy
join_us.paragraph;Vero epi.curioso,\nSei libero, creativo e indipendente,\nColtivi il verbo e apprezzi i giochi di parole,\nIl tuo occhio è tanto malizioso quanto acuto,\nLa tua esigenza personale è formidabile,\nIl tuo senso dell'umorismo è rinmato,\nSei sensibile alle sfide di una comunicazione sostenibile e responsabile,\nPer te la vita non può che essere bella, divertente e piacevole,\nQuindi, unisciti al nostro collettivo inviando il tuo file.
join_us.side_title;LAVORA CON NOI
join_us.title;Entra nella storia Egon
legal_notice.title;Legal notices
legal_notice.last_update;Last update
legal_notice.welcome;Welcome to our site, egonparis.com
legal_notice.law;Under article 6 of law no. 2004-575 of 21 June 2004 on confidence in the digital economy:
legal_notice.owner;Owner and publisher: EGON PARIS, simplified corporation with a sole shareholder, with capital of €2000
legal_notice.address;Registered on the Trade and Companies Register of Nanterre under number B 910 423 185 / VAT no.: FR21910423185 / Address: 71-73 rue de Chézy – 92200 Neuilly-sur-Seine – France
legal_notice.publication_director;Publication Director: Séverine Breton – 
legal_notice.host;Host: OVH, 2 rue Kellermann – BP 80157 59053 ROUBAIX CEDEX 1 – France
legal_notice.please_read;Please read these Terms of Use (“TOU”) thoroughly before using the site. By using the site, you acknowledge having read the TOU and accept all of these provisions as binding. If you do not wish to be bound by these TOU, do not use the site.
legal_notice.right_to_update;We reserve the right to amend or update all or part of the TOU at our discretion and without prior notice. We will always publish the most recent version on the site and indicate the date of the last amendment to reflect the date of the update. The revised TOU will take effect upon publication.
legal_notice.disclaimer_label;EGON PARIS disclaims all responsibility for any:
legal_notice.disclaimer_line1;interruption, suspension or malfunctioning of site services,
legal_notice.disclaimer_line2;bugs,
legal_notice.disclaimer_line3;inaccuracies or omissions in the information on the site.
legal_notice.website_protection;Website protection
legal_notice.copy_forbidden;Reproduction of all or part of this website is prohibited. Registered trademark. All rights reserved.
legal_notice.website_copyright;The site and all site content are our property and protected by copyright, trademark law and other intellectual property rights as well as unfair competition law, whether they are registered or not (“IP Rights”).
legal_notice.photos_copyright;The visuals illustrating the mission statement were shot by Marianne Gamet, Lomig, Joel Filipe and Daniel Genser.
legal_notice.data_protection;Personal data protection and security
legal_notice.no_data_collect;No personal data is collected without the web user's knowledge. No personal data is disclosed to third parties or used for purposes other than those specified. Under article 34 of the French data protection act, you have the right to access, amend, rectify and delete your data. To exercise your right, contact us at:
legal_notice.privacy_policy_introduction;Please consult the section on our
legal_notice.privacy_policy_link;privacy policy
manifest.page1.pre;N°01
manifest.page1.title;Artista di natura
manifest.page1.text;Radicale ed espressivo,\nsi interessa, domanda, per sublimare, descrivere e reinventare,\nvero stratega épi.curioso,\né devoto all'espressione dell'estetica\nattraverso il senso giusto e preciso del legame tra l'immagine e la parola,\ncostruendo un sogno per provocare l'emozione.
manifest.page2.pre;N°02
manifest.page2.title;Radicato nella terra
manifest.page2.text;Spirito nomade\nSi nutre del passato per meglio comprendere il futuro\nPragmatico, attivista creativo,\nImmagina l'arte di Vivere con consapevolezza\nPassione e rigore
manifest.page3.pre;N°03
manifest.page3.title;Filantropo disinibito
manifest.page3.text;Evolve in un ambiente creativo\nalla geometria volubile\nche si é costruito su misura
manifest.page4.pre;A sua volta,
manifest.page4.title;Esploratore poi guida 
manifest.page4.text;Egon Paris é un elettrone libero, creativo ed impegnato.
manifest.page5.pre;
manifest.page5.title;
manifest.page5.text;Agenzia di consulenza in comunicazione specializzata nell'Arte di Vivere
menu.label;Menù
menu.agency.first_name;Nome
menu.agency.founder;Fondatrice
menu.agency.label;Egon
menu.agency.manifest;Manifesto
menu.agency.philosophy;Filosofia
menu.contact.label;Contatto
menu.creation.customers;Chi siamo
menu.creation.label;Progettazione
menu.creation.projects;Dove?
menu.expertises.creation;Creazione
menu.expertises.digital;Digital
menu.expertises.edition;Édizione
menu.expertises.label;Skills
menu.expertises.production;Produzione
menu.expertises.strategy;Strategia
menu.language.en;UK
menu.language.fr;FR
menu.language.it;IT
newsletter.action.subscribe;Mi inscrivo
newsletter.error;Verifica il tuo indirizzo mail
newsletter.header;Iscriviti alla nostra news letter
newsletter.placeholder;il tuo indirizzo mail
newsletter.subscribed;Sei iscritto!
privacy_policy.title;Privacy policy
privacy_policy.personal_data_title;What is personal data?
privacy_policy.personal_data_paragraph1;Personal data is information that we collect in order to identify you. Your data includes your first name, surname, address, age, postal and electronic addresses, phone numbers, etc.
privacy_policy.personal_data_paragraph2;EGON PARIS takes personal data protection extremely seriously and processes your data with the utmost care.
privacy_policy.recipients_title;The recipients of your data
privacy_policy.recipients_paragraph;Your personal data is only accessible by our various internal departments.
privacy_policy.goal_title;The purpose of personal data
privacy_policy.goal_paragraph1;Personal data processing may involve collecting, saving, organising, archiving, amending, deleting, adding, exporting, consulting, processing and forwarding data.
privacy_policy.goal_paragraph2;We use your personal data only to the extent necessary, in a number of instances:
privacy_policy.goal_line01;to contact you,
privacy_policy.goal_line02;to process your requests,
privacy_policy.goal_line03;to carry out our services,
privacy_policy.goal_line04;to send you our news, special offers and various information,
privacy_policy.goal_line05;to respond to your requests, complaints or disputes,
privacy_policy.goal_line06;to prevent fraud,
privacy_policy.goal_line07;to draw up our accounting records,
privacy_policy.goal_line08;to optimise our products and services,
privacy_policy.goal_line09;to personalise our offers.
privacy_policy.goal_line10;etc.
privacy_policy.goal_paragraph3;If you object to us using your personal data for research or analysis purposes, you can inform us of this at any time by contacting us at
privacy_policy.confidentiality_title;Privacy
privacy_policy.confidentiality_paragraph1;We retain your data only for as long as necessary to process this data or to fulfil legal or fiscal obligations.
privacy_policy.confidentiality_paragraph2;We pledge not to sell, lease, transfer or provide third-party access to your data without your prior consent, unless compelled to do so for a legitimate reason (legal obligation, anti-fraud or anti-abuse processes, the exercise of defence rights, etc.).
privacy_policy.your_rights_title;Your rights
privacy_policy.your_rights_paragraph1;However, if you no longer wish to be contacted by us or would like to make a request regarding your personal data, you have the following rights:
privacy_policy.your_rights_line1;the right to request access to your data,
privacy_policy.your_rights_line2;the right to rectify or update your data,
privacy_policy.your_rights_line3;the right to delete or restrict the processing of your data, subject to statutory limitations,
privacy_policy.your_rights_line4;the right to object to the processing of your data and to direct marketing,
privacy_policy.your_rights_line5;the right to port your data.
privacy_policy.your_rights_paragraph2;To exercise these rights, simply contact us at the following address:
privacy_policy.address1;71-73 rue de Chézy
privacy_policy.address2;92200 Neuilly-sur-Seine – France
privacy_policy.your_rights_paragraph3;We will respond to your request as soon as possible and take all the necessary steps to respect your trust in us.
privacy_policy.cookies_title;Cookies
privacy_policy.cookies_paragraph1;We may use cookies on our site in order to improve the quality of our services. Cookies are small text files that your browser places on your computer, mobile phone or tablet when you surf the internet. They are generated by the site you visit and contain data on your session.
privacy_policy.cookies_paragraph2;The information collected is anonymous and does not identify you. We use this information to optimise our offers, improve our services and your browsing experience, offer relevant, targeted advertising and provide you with additional features. We also use it for statistical purposes, to evaluate site performance, determine numbers of page views and learn about our site's audience.
privacy_policy.cookies_paragraph3;Consult your web browser's settings to accept or refuse cookies. Cookies may be temporary (session cookies) or permanent. Session cookies are active during your visit to the site only and expire once you close the browser. Permanent cookies are stored on your device's hard disk when you leave the site and remain there until you manually delete them or the browser clears them after a certain amount of time.
privacy_policy.cookies_paragraph4;To respect your privacy, your cookies are not linked to any of your personally identifiable information. Under no circumstances will cookies reveal your address, date of birth, telephone number or any other personally identifiable information.
privacy_policy.security_title;Security
privacy_policy.security_paragraph;We are committed to taking appropriate technical and organisational measures in order to protect your personal data from accidental or unlawful destruction, accidental loss, damage, distribution or unauthorised access.
privacy_policy.applicable_law_title;Applicable law
privacy_policy.applicable_law_paragraph1;The EGON PARIS site has been designed and written in French, English and Italian. The Terms of Use are subject to French law. Any dispute shall be referred to the French courts, which shall have exclusive jurisdiction.
privacy_policy.applicable_law_paragraph2;For any questions about these TOU, or in the event of a request or complaint about your Personal Data, contact us as follows:
privacy_policy.applicable_law_paragraph3;In the event of a complaint about how we process your data, you also have the right to contact the national commission for information technology and civil liberties (CNIL) at 3 place de Fontenoy – TSA 80715 – 75334 PARIS CEDEX 07, France, Tel.: +33 (0)1 53 73 22 22,